"","ID","enumerator","date","district","sub_county","q1","q1b","mcc.q4","mcc.q5","mcc.q6","mcc.q8","mcc.q9","mcc.q11","mcc.q12","mcc.q13","mcc.q14","mcc.q15","mcc.q16","mcc.q17","mcc.q18","mcc.q19","mcc.q20","mcc.q21","mcc.q22","mcc.q23","mcc.q24","mcc.q25","mcc.q26","mcc.q27","mcc.q28.1","mcc.q28.2","mcc.q28.3","mcc.q28.4","mcc.q28.5","mcc.q28.96","mcc.q28.98","mcc.q29.1","mcc.q29.2","mcc.q29.3","mcc.q29.4","mcc.q29.5","mcc.q29.6","mcc.q29.7","mcc.q29.8","mcc.q29.9","mcc.q29.96","mcc.q29.98","mcc.q30","mcc.q31","mcc.q32","mcc.q33","mcc.q34","mcc.q35","mcc.q36","mcc.q37","mcc.q38","mcc.q39","mcc.q40","mcc.q41","mcc.q42","mcc.q43.1","mcc.q43.2","mcc.q43.3","mcc.q43.4","mcc.q43.5","mcc.q43.6","mcc.q43.7","mcc.q43.8","mcc.q43.9","mcc.q43.10","mcc.q43.11","mcc.q43.96","mcc.q43.98","mcc.q44","mcc.q45","mcc.q46","mcc.q47","mcc.q48","mcc.q49","mcc.q50","mcc.q51","mcc.q52.a","mcc.q52.b","mcc.q52.c","mcc.q52.d","mcc.q52.e","mcc.q52.f","mcc.q52.g","mcc.q52.h","mcc.q52.i","mcc.q52.j","mcc.q52.96","mcc.q53.a","mcc.q53.b","mcc.q53.c","mcc.q53.d","mcc.q53.e","mcc.q53.f","mcc.q53.g","mcc.q53.h","mcc.q54","mcc.q55.1","mcc.q55.2","mcc.q55.3","mcc.q56","mcc.q57","mcc.q58.a","mcc.q58.b","mcc.q58.c","mcc.q58.96","mcc.q59","mcc.q60","shed"
"1","M_1","EN_4","12/7/2018","KIRUHURA","KIRUHURA TOWN COUNCIL","Yes","n/a","Male",4,"Manager",3,"No","No","n/a","n/a",2,"No","3","600",6,"350",2,2,"1000",3000,20,80,"20:00:00.000+03","22:30:00.000+03",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"n/a","No","n/a","n/a",1,"1/1/2003",3000,999,999,900,500,800,2500,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,0,2,0,0,2,1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Yes",TRUE,TRUE,TRUE,"Yes","No","n/a","n/a","n/a","n/a",999,999,"SW"
"2","M_2","EN_4","12/7/2018","KIRUHURA","KENSHUNGA","Yes","n/a","Female",6,"Manager",3,"No","No","n/a","n/a",5,"No","10","500",60,"30000",3,3,"n/a",3000,60,100,"09:00:00.000+02","13:00:00.000+02",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"3","No","n/a","n/a",1,"1/1/2015",3000,20,800,1000,500,1800,3000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13,0,0,4,1,0,5,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Yes",TRUE,TRUE,TRUE,"Yes","No","n/a","n/a","n/a","n/a",999,150000,"SW"
"3","M_3","EN_5","12/7/2018","KIRUHURA","KENSHUNGA","Yes","n/a","Male",4,"Manager",1,"No","No","n/a","n/a",2,"No","15","1900",15,"250",3,1,"400",2100,60,95,"07:00:00.000+03","10:00:00.000+03",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"n/a","Yes","2","1",1,"1/1/2018",1300,10,1300,800,400,900,2100,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,11,0,0,2,1,0,2,2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Yes",FALSE,TRUE,TRUE,"Yes","No","n/a","n/a","n/a","n/a",300,20000,"SW"
"4","M_4","EN_7","12/7/2018","KIRUHURA","KENSHUNGA","Yes","n/a","Male",5,"Manager",3,"No","No","n/a","n/a",3,"No","3","700",43,"1000",1,3,"n/a",2045,40,100,"07:00:00.000+03","23:30:00.000+03",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"n/a","No","n/a","n/a",1,"1/1/2013",600,30,600,1000,700,1000,1800,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12,0,0,4,1,0,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Yes",TRUE,TRUE,TRUE,"Yes","No","n/a","n/a","n/a","n/a",999,140000,"SW"
"5","M_5","EN_7","12/7/2018","KIRUHURA","KENSHUNGA","Yes","n/a","Male",6,"Manager",1,"Yes","n/a","n/a","n/a",2,"No","9","2500",0,"n/a",3,3,"n/a",2960,40,100,"08:00:00.000+03","11:30:00.000+03",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"n/a","No","n/a","n/a",1,"1/1/2018",2960,7,2500,1100,700,1800,2960,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,2,0,0,1,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Yes",FALSE,TRUE,TRUE,"Yes","No","n/a","n/a","n/a","n/a",999,148000,"SW"
"6","M_6","EN_7","12/7/2018","KIRUHURA","KENSHUNGA","Yes","n/a","Female",6,"Manager",3,"No","No","n/a","n/a",2,"Yes","n/a","n/a",35,"2000",3,3,"n/a",3000,50,80,"07:00:00.000+03","10:10:00.000+03",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"n/a","No","n/a","n/a",1,"1/1/2012",2000,29,1500,1000,400,1500,2500,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,1,0,0,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Yes",TRUE,TRUE,TRUE,"No","No","n/a","n/a","n/a","n/a",999,60000,"SW"
"7","M_7","EN_4","12/6/2018","KIRUHURA","KENSHUNGA","Yes","n/a","Female",4,"Secretary",1,"No","No","n/a","n/a",6,"No","10","200",6,"6200",3,1,"500",7200,42,100,"08:00:00.000+03","12:30:00.000+03",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"3","Yes","2","1",1,"1/1/2013",5000,20,4000,800,500,3000,7200,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,0,2,0,3,6,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Yes",TRUE,TRUE,TRUE,"Yes","Yes","TRUE","FALSE","FALSE","FALSE",48,170000,"SW"
"8","M_8","EN_1","12/8/2018","KIRUHURA","KAZO","Yes","n/a","Male",4,"Manager",3,"Yes","n/a","n/a","n/a",4,"No","10","500",62,"1800",3,3,"n/a",3000,47,100,"07:00:00.000-06","11:00:00.000-06",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"n/a","No","n/a","n/a",1,"1/1/2015",3000,30,1200,1200,500,1400,3000,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,0,1,1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Yes",FALSE,TRUE,TRUE,"Yes","No","n/a","n/a","n/a","n/a",999,120000,"SW"
"9","M_9","EN_5","12/8/2018","KIRUHURA","KAZO","Yes","n/a","Male",2,"Manager",3,"No","No","n/a","n/a",5,"No","10","1000",10,"1400",3,1,"300",3000,50,100,"07:30:00.000+03","11:00:00.000+03",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"1","No","n/a","n/a",1,"1/1/2016",6000,50,6000,1000,600,1700,3000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,26,0,0,2,0,0,5,2,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Yes",FALSE,TRUE,TRUE,"Yes","No","n/a","n/a","n/a","n/a",999,999,"SW"
"10","M_10","EN_4","12/8/2018","KIRUHURA","KAZO","Yes","n/a","Female",5,"Manager",1,"No","Yes","3","10500",2,"No","2","50",40,"2800",3,1,"200",13000,33,75,"09:00:00.000+02","12:00:00.000+02",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"3","No","n/a","n/a",1,"1/1/2012",5000,14,500,950,550,2500,4500,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,40,0,0,2,1,2,5,6,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Yes",TRUE,TRUE,TRUE,"Yes","No","n/a","n/a","n/a","n/a",100,120000,"SW"
