"","ID","enumerator","date","district","sub","trader.q3","trader.q4","trader.q5","trader.q6","trader.q7","trader.q8","trader.q9","trader.q10","trader.q11","trader.q12","trader.q14","trader.q16","trader.q17","trader.q18.Bongo","trader.q18.Ghee","trader.q18.Other","trader.q19","trader.q20","trader.q21","trader.q22","trader.q23","trader.q24","trader.q25","trader.q26","trader.q27","trader.q28","trader.q29","trader.q30","trader.q31","trader.q33","trader.q35","trader.q36","trader.q37","trader.q38","trader.q39","trader.q40","trader.q41","trader.q42","trader.q43","trader.q44","trader.q45","trader.q46","trader.q47","trader.q48","trader.q49","trader.q50","trader.q51","trader.q52","trader.q53","trader.q54","trader.q55","trader.q56","trader.q57","trader.q58","trader.q59","trader.q60.1","trader.q60.2","trader.q60.3","trader.q60.4","trader.q60.5","trader.q60.96","trader.q61","trader.q62","trader.q63","trader.q64","trader.q65","trader.q66","trader.q67","trader.q68","trader.q69","trader.q70","trader.q71","trader.q72","trader.q73","trader.q74","trader.q75","trader.q76","trader.q77","trader.q78","trader.q80","trader.q81","trader.q82","trader.q83","trader.q83b","trader.q84","trader.q85","trader.q85b","trader.q86","trader.q87","trader.q88","trader.q89","trader.q91","trader.q92","trader.q93","trader.q94","trader.q95","trader.q96","trader.q97","trader.q98","trader.q99.1","trader.q99.2","trader.q99.3","trader.q99.4","trader.q100","trader.q101","trader.q102","trader.q103","shed"
"1","T_1","EN_10","12/7/2018","KIRUHURA","KENSHUNGA",43,"Male",2,"Yes","n/a",5,2,2,"KIRUHURA","KENSHUNGA",1,3,"No","n/a","n/a","n/a","No","n/a","1/1/2017","1/1/2018",50,2,3,"1","1","2","2","Yes","No",700,1,1,15,0,0,10,0,0,0,5,0,400,1,1,35,0,0,20,0,0,0,15,0,2,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",1,0,0,0,0,1,2,1,1,3,"No",50,3,1,"Yes","Yes","Yes","09:00:00.000+03","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","2","Yes","Yes","Yes","TRUE","FALSE","FALSE","FALSE","No","n/a","n/a","n/a","SW"
"2","T_2","EN_10","12/7/2018","KIRUHURA","KENSHUNGA",30,"Male",3,"Yes","n/a",3,2,2,"KIRUHURA","KENSHUNGA",1,2,"No","n/a","n/a","n/a","No","n/a","1/1/2018","1/1/2018",50,999,20,"n/a","2","1","1","Yes","Yes",999,1,999,999,999,999,999,999,999,999,999,999,999,1,999,999,999,999,999,999,999,999,999,999,3,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",0,0,0,0,0,0,1,0,0,3,"No",200,1,1,"Yes","Yes","Yes","12:30:00.000+03","1","5","1","n/a","n/a","n/a","n/a","n/a","50","600","80","Buyer","n/a","n/a","n/a","Yes","2","Yes","Yes","No","n/a","n/a","n/a","n/a","No","n/a","n/a","n/a","SW"
"3","T_3","EN_10","12/7/2018","KIRUHURA","KENSHUNGA",36,"Male",2,"Yes","n/a",20,1,1,"KIRUHURA","KENSHUNGA",3,2,"No","n/a","n/a","n/a","No","n/a","1/1/2018","1/1/2018",50,50,40,"n/a","1","1","1","Yes","Yes",999,1,999,999,999,999,999,999,999,999,999,999,500,1,30,750,0,0,350,0,400,0,0,0,3,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",0,0,0,0,0,0,1,1,2,3,"Yes",300,3,0.5,"Yes","Yes","Yes","12:00:00.000+03","1","5","2","n/a","n/a","n/a","n/a","n/a","200","700","6","Buyer","n/a","n/a","n/a","Yes","2","Yes","Yes","No","n/a","n/a","n/a","n/a","No","n/a","n/a","n/a","SW"
"4","T_4","EN_10","12/7/2018","KIRUHURA","KENSHUNGA",32,"Male",4,"No","3",20,1,2,"KIRUHURA","KENSHUNGA",1,3,"No","n/a","n/a","n/a","No","n/a","1/1/2000","1/1/2000",60,12,6,"1","1","1","1","Yes","Yes",1100,1,8,300,0,0,0,200,0,0,0,0,500,1,10,700,0,0,300,400,0,0,0,0,2,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",8,4,1,0,3,0,1,0,2,3,"Yes",300,6,1,"Yes","Yes","Yes","10:00:00.000+03","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","2","Yes","Yes","Yes","FALSE","TRUE","FALSE","FALSE","No","n/a","n/a","n/a","SW"
"5","T_5","EN_10","12/7/2018","KIRUHURA","KENSHUNGA",38,"Male",6,"No","3",13,1,2,"KIRUHURA","KENSHUNGA",1,3,"No","n/a","n/a","n/a","No","n/a","1/1/2014","1/1/2014",100,4,2,"3","1","1","1","No","Yes",900,1,8,150,0,0,100,50,0,0,0,0,700,1,15,700,0,0,500,200,0,0,0,0,3,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",4,0,0,0,1,0,1,0,0,3,"Yes",200,3,4,"Yes","Yes","Yes","11:00:00.000+03","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","2","Yes","Yes","Yes","FALSE","TRUE","FALSE","FALSE","No","n/a","n/a","n/a","SW"
"6","T_6","EN_4","12/7/2018","KIRUHURA","KENSHUNGA",35,"Male",2,"Yes","n/a",1,1,2,"KIRUHURA","KENSHUNGA",3,2,"No","n/a","n/a","n/a","No","n/a","1/1/2015","1/1/2015",100,3,3,"n/a","2","2","3","No","No",1000,1,10,500,0,0,500,0,0,0,0,0,700,1,10,700,0,0,700,0,0,0,0,0,2,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",0,0,0,0,1,0,1,1,0,3,"No",220,3,3,"Yes","Yes","Yes","07:30:00.000+02","1","4","2","n/a","n/a","n/a","n/a","n/a","50","200","5","Buyer","n/a","n/a","n/a","Yes","2","Yes","Yes","No","n/a","n/a","n/a","n/a","No","n/a","n/a","n/a","SW"
"7","T_7","EN_4","12/7/2018","KIRUHURA","KENSHUNGA",28,"Male",3,"Yes","n/a",3,3,2,"KIRUHURA","KASHONGI",3,2,"No","n/a","n/a","n/a","No","n/a","1/1/2018","1/1/2018",100,3,3,"n/a","2","2","2","No","No",1000,1,12,400,0,0,400,0,0,0,0,0,450,1,12,800,0,0,800,0,0,0,0,0,3,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",0,0,0,0,1,0,1,2,0,3,"No",200,3,1,"Yes","Yes","Yes","09:30:00.000+02","1","4","2","n/a","n/a","n/a","n/a","n/a","25","600","3","Buyer","n/a","n/a","n/a","Yes","2","Yes","Yes","Yes","TRUE","FALSE","FALSE","FALSE","Yes","50000","No","Buying food at home","SW"
"8","T_8","EN_5","12/7/2018","KIRUHURA","KENSHUNGA",22,"Male",3,"No","3",7,1,2,"KIRUHURA","KINONI",1,2,"No","n/a","n/a","n/a","No","n/a","1/1/2016","1/1/2016",40,4,2,"n/a","2","1","1","Yes","Yes",1100,1,9,350,0,0,200,50,0,0,0,5,500,1,8,570,0,0,200,150,100,0,0,8,3,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",6,0,0,0,1,0,1,2,1,3,"Yes",260,1,2,"Yes","Yes","Yes","11:30:00.000+03","1","5","2","n/a","n/a","n/a","n/a","n/a","100","400","5","Seller","n/a","n/a","n/a","Yes","2","Yes","Yes","No","n/a","n/a","n/a","n/a","No","n/a","n/a","n/a","SW"
"9","T_9","EN_5","12/7/2018","KIRUHURA","KENSHUNGA",26,"Male",3,"Yes","n/a",4,3,2,"KIRUHURA","KANONI",1,1,"No","n/a","n/a","n/a","No","n/a","1/1/2017","1/1/2013",50,999,3,"1","n/a","1","1","No","Yes",1100,1,10,800,0,0,0,999,0,0,0,5,600,1,10,2100,0,0,400,450,0,0,0,5,3,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",4,0,0,20,3,0,1,0,0,3,"Yes",310,1,5,"Yes","Yes","Yes","11:03:00.000+03","n/a","n/a","n/a","2","1","4","3","3","n/a","n/a","n/a","n/a","100","250","20","Yes","2","Yes","Yes","No","n/a","n/a","n/a","n/a","No","n/a","n/a","n/a","SW"
"10","T_10","EN_11","12/7/2018","KIRUHURA","KENSHUNGA",18,"Male",2,"No","4",6,1,2,"KIRUHURA","KENSHUNGA",3,2,"No","n/a","n/a","n/a","No","n/a","1/1/2017","1/1/2017",70,2,1,"n/a","2","1","1","Yes","Yes",1000,1,2,50,0,0,50,0,0,0,0,0,500,1,2,120,0,0,120,0,0,0,0,0,2,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",2,1,1,0,1,0,1,1,0,3,"No",70,3,1,"Yes","Yes","Yes","09:30:00.000+03","1","4","1","n/a","n/a","n/a","n/a","n/a","50","70","3","Seller","n/a","n/a","n/a","Yes","2","Yes","Yes","Yes","TRUE","FALSE","FALSE","FALSE","No","n/a","n/a","n/a","SW"
