"","today","region","district","hh_id","shed","a13","b01","b02","b02.5","b02.6","b02.7","b02.99","b03","b04","b05","b07","b08","b09","b10","b11","b12","b13","b14","b14a","b15","b16","c05_dry","c05_rain","c05","c05a","c06_dry","c06_rain","c06","c06calc","c07","c07.11","c07.12","c07.13","c07.14","c07.15","c07.99","c07a","c08","d01","d02","d03","d04","d05","d06","d06a","d07","d08","d08.1","d08.2","d08.3","d08.4","d08.5","d08.99","d08a","e01","e02","e02a","e03","e04","e04a","e05","e06","e07","e18","e18a","e19","e20","e21","e22","e23","e24","e25","e26","e27","e28","f05","f06","f07","f08","f09","f10","f11a","f11b","f11c","f11c_other","f12","f13","f14","g01","g02","g03","g04","g05","g06","g07","g08","g09","g10","g11","g11.1","g11.2","g11.3","g11.4","g11.99","g11a","g12","g13","g13.1","g13.2","g13.3","g13.99","g13a","g14","g15"
"1","2020-11-27","Western","KIBOGA","M_43","C",1,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",25000,30000,10037500,"Liters",20000,25000,8212500,-0.181818181818182,"11 14 13",1,0,1,1,0,0,"",2,1,18,6,4,0,2,NA,2,"3 4 5",0,0,1,1,1,0,"",1,3,NA,2,NA,NA,1,2,NA,2,NA,3,NA,1,1,2,1,1,1,1,1,2,2,2,1,1,2,1,1,1,"Gesa helps in capacity building for both workers and farmers.",4,4,10,1,2,1,2,2,2,2,2,4,1,"3 4",0,0,1,1,0,"",4,"",NA,NA,NA,NA,"",4,3
"2","2020-11-27","Western","KIBOGA","M_40","C",1,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",1200,2700,711750,"Liters",1500,5000,1186250,0.666666666666667,"14 11",1,0,0,1,0,0,"",3,1,2,0,0,0,2,NA,3,"",NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,2,2,NA,2,NA,3,NA,2,2,NA,2,2,2,1,1,2,2,2,1,1,1,2,2,2,"",4,2,0,1,1,1,2,2,2,2,2,3,NA,"",NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,"",4,4
"3","2020-11-27","Western","KIBOGA","M_41","C",1,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",2000,4000,1095000,"Liters",3000,4500,1368750,0.25,"11 13",1,0,1,0,0,0,"",3,1,3,0,0,0,3,NA,NA,"",NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,3,2,NA,3,NA,3,NA,2,2,NA,1,1,1,1,1,2,2,2,1,1,2,2,2,1,"They train workers on proper handdling of milk and provide more training in capacity building.",3,1,0,1,1,1,2,2,2,2,2,5,1,"3 2 4",0,1,1,1,0,"",4,"",NA,NA,NA,NA,"",4,2
"4","2020-11-27","Western","KIRUHURA","M_11","SW",1,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",1200,1600,511000,"Liters",900,1500,438000,-0.142857142857143,"14 11",1,0,0,1,0,0,"",3,1,2,1,0,0,2,NA,3,"",NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,3,2,NA,2,NA,4,3,1,1,2,1,2,1,1,1,2,6,6,1,1,2,2,2,2,"",3,1,0,1,2,2,2,2,2,2,2,4,1,"2",0,1,0,0,0,"",4,"",NA,NA,NA,NA,"",3,2
"5","2020-11-27","Western","KIRUHURA","M_4","SW",1,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",600,1200,328500,"Liters",700,900,292000,-0.111111111111111,"99 11",1,0,0,0,0,1,"Alot of competition by the newly established dairies.",3,1,3,0,2,0,3,NA,NA,"",NA,NA,NA,NA,NA,NA,"",2,NA,NA,2,NA,NA,4,2,NA,1,NA,3,NA,2,2,NA,1,2,1,1,1,2,2,2,1,1,2,2,2,2,"",3,1,0,1,1,1,1,2,2,2,2,4,1,"3 4",0,0,1,1,0,"",4,"",NA,NA,NA,NA,"",4,2
"6","2020-11-27","Western","KIRUHURA","M_18","SW",1,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",1500,2500,730000,"Liters",1100,1800,529250,-0.275,"11",1,0,0,0,0,0,"",3,1,3,0,0,0,1,NA,3,"",NA,NA,NA,NA,NA,NA,"",1,2,NA,2,NA,NA,4,1,5,2,NA,4,3,2,2,NA,1,1,1,1,1,3,2,2,1,1,2,2,2,2,"",4,5,0,1,1,1,2,1,2,2,2,4,2,"",NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,"",4,2
"7","2020-11-27","Western","MASINDI","M_69","C",1,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",1000,2000,547500,"Liters",300,500,146000,-0.733333333333333,"14",0,0,0,1,0,0,"",1,1,2,2,0,0,2,NA,2,"4",0,0,0,1,0,0,"",1,3,NA,2,NA,NA,4,1,18,2,NA,2,2,1,1,2,2,2,1,2,1,1,2,3,1,2,NA,2,2,2,"",4,5,0,1,1,1,1,1,2,2,2,3,NA,"",NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,"",3,3
"8","2020-11-27","Western","NAKASEKE","M_72","C",1,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",400,2600,547500,"Liters",1600,3800,985500,0.8,"14",0,0,0,1,0,0,"",3,1,3,0,1,0,2,NA,2,"99",0,0,0,0,0,1,"More school dropouts looking for jobs",2,NA,NA,2,NA,NA,4,2,NA,2,NA,2,3,2,2,NA,2,2,1,2,1,4,2,2,1,1,1,2,2,2,"",2,2,0,2,2,2,2,2,2,2,2,4,2,"",NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,"",4,4
"9","2020-11-27","Western","NAKASEKE","M_88","C",2,"2020-01-01","5",1,0,0,0,"",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2,"",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,NA
"10","2020-11-27","Western","NAKASEKE","M_82","C",2,"2020-06-01","5 7",1,0,1,0,"",1,1,2,1,2,1,1,1,1,1,"Residents were selling bad quality milk",2,"",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,NA
