"","today","region","district","hh_id","shed","a13","b01","b02","b02.1","b02.2","b02.3","b02.4","b02.5","b02.6","b02.7","b02.99","b03","b04","b05","b06","b07","b08","b09","b10","b11","b12","b13","b14","b14a","b15","b16","c05_dry","c05_rain","c05","c05a","c06_dry","c06_rain","c06","c06calc","c07","c07.11","c07.12","c07.13","c07.14","c07.15","c07.99","c07a","c08","d01","d02","d03","d04","d05","d06","d06a","d07","d08","d08.1","d08.2","d08.3","d08.4","d08.5","d08.99","d08a","e01","e02","e02a","e03","e04","e04a","e05","e06","e07","e18","e18a","e19","e20","e21","e22","e23","e24","e25","e26","e27","e28","f05","f06","f07","f08","f09","f10","f11a","f11b","f11c","f11c_other","f12","f13","f14","g01","g02","g03","g04","g05","g06","g07","g08","g09","g10","g11","g11.1","g11.2","g11.3","g11.4","g11.99","g11a","g12","g13","g13.1","g13.2","g13.3","g13.99","g13a","g14","g15"
"1","2020-12-03","Western","KIBOGA","T_193","C",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",80,150,41975,"Liters",70,90,29200,-0.304347826086957,"11",1,0,0,0,0,0,"",3,2,NA,NA,NA,NA,NA,2,NA,"",NA,NA,NA,NA,NA,NA,"",1,1,"",2,NA,"",3,2,NA,1,"",4,3,1,1,3,2,2,1,1,2,5,6,6,1,1,3,1,2,1,"Send a Motor bike incase I fail to get transport ",2,4,30,1,1,1,1,1,1,1,1,4,1,"99",0,0,0,0,1,"Reductions  in the number of suppliers",1,"2",0,1,0,0,"",4,3
"2","2020-12-03","Western","KYANKWANZI","T_264","C",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",240,400,116800,"Liters",380,420,146000,0.25,"11",1,0,0,0,0,0,"",3,1,1,0,0,0,2,NA,3,"",NA,NA,NA,NA,NA,NA,"",2,NA,"",2,NA,"",3,2,NA,1,"",2,3,2,2,NA,1,1,1,2,1,2,2,2,2,2,NA,1,2,1,"Cans",2,2,0,1,1,2,1,2,1,2,2,4,2,"",NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,"",4,3
"3","2020-12-03","Western","NAKASEKE","T_453","C",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,NA
"4","2020-12-05","Western","NAKASEKE","T_494","C",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",45,80,22812.5,"Liters",70,100,31025,0.36,"11",1,0,0,0,0,0,"",3,1,2,0,0,0,3,NA,NA,"",NA,NA,NA,NA,NA,NA,"",2,NA,"",2,NA,"",2,2,NA,1,"",2,2,1,1,1,1,1,2,1,1,2,2,2,2,2,NA,2,2,2,"",2,1,99,1,1,1,1,1,1,2,2,3,NA,"",NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,"",4,3
"5","2020-12-02","Western","KIRUHURA","T_49","SW",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,NA
"6","2020-12-05","Western","NAKASEKE","T_624","C",2,"2020-06-01","3",0,0,1,0,0,0,0,0,"",1,2,2,2,1,2,1,1,1,1,2,"",1,"2021-01-01",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,NA
"7","2020-12-05","Western","KIRUHURA","T_147","SW",2,"2020-05-01","99",0,0,0,0,0,0,0,1,"fear for colona",1,2,2,2,1,2,2,2,2,2,2,"",1,"2021-01-01",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,NA
"8","2020-12-05","Western","KIRUHURA","T_147","SW",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",250,450,127750,"Liters",300,450,136875,0.071428571428572,"",NA,NA,NA,NA,NA,NA,"",NA,1,1,0,0,0,3,NA,NA,"",NA,NA,NA,NA,NA,NA,"",1,4,"",2,NA,"",3,2,NA,1,"",3,NA,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,"",3,3,3,1,1,1,1,1,2,2,2,3,NA,"",NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,"",3,2
"9","2020-12-01","Western","KIRUHURA","T_78","SW",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",300,450,136875,"Liters",250,350,109500,-0.2,"11 99",1,0,0,0,0,1,"There was less rain",3,2,NA,NA,NA,NA,NA,1,3,"",NA,NA,NA,NA,NA,NA,"",2,NA,"",1,3,"",3,2,NA,1,"",2,3,2,2,NA,2,2,2,2,1,4,6,6,2,2,NA,2,2,2,"",2,2,0,1,2,2,2,2,2,2,2,3,NA,"",NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,"",3,5
"10","2020-12-04","Western","MBARARA","T_94","SW",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",130,200,60225,"Liters",100,280,69350,0.151515151515152,"11",1,0,0,0,0,0,"",3,1,3,0,3,0,4,NA,2,"5 3",0,0,1,0,1,0,"",1,1,"",1,1,"",3,1,186,1,"",3,NA,1,1,2,2,2,2,1,1,4,6,6,1,1,1,2,2,1,"Cans on subsidised price, Sanitisation on milk handling.",3,2,2,1,1,1,2,1,1,1,1,3,NA,"",NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,"",3,3
