"district","hh_id","shed","q1","q1a","q1b","consent","mcc.q4","mcc.q5","mcc.secB_group.b01","mcc.secB_group.b02.5","mcc.secB_group.b02.6","mcc.secB_group.b02.7","mcc.secB_group.b02.99","mcc.secB_group.b03","mcc.secB_group.b04","mcc.secB_group.b05.1","mcc.secB_group.b05.2","mcc.secB_group.b05.3","mcc.secB_group.b05.4","mcc.secB_group.b05.5","mcc.secB_group.b05.6","mcc.secB_group.b05.7","mcc.secB_group.b05.8","mcc.secB_group.b05.96","mcc.secC_group.q6","mcc.secC_group.q6a","mcc.secC_group.q8","mcc.secC_group.q14","mcc.secC_group.q15","mcc.secC_group.q16","mcc.secC_group.q17","mcc.secC_group.q18","mcc.secC_group.q19","mcc.secC_group.q20","mcc.secC_group.q21","mcc.secC_group.q22","mcc.secC_group.q23","mcc.secC_group.q24","mcc.secC_group.q25","mcc.secC_group.q26","mcc.secC_group.q27","mcc.secC_group.q28","mcc.secC_group.q28b","mcc.secC_group.q28c","mcc.secC_group.q28d","mcc.secC_group.q28e","mcc.secC_group.secC_subgroup.q29","mcc.secC_group.secC_subgroup.q30","mcc.secC_group.secC_subgroup.q30a","mcc.secC_group.secC_subgroup.q30b","mcc.secC_group.secC_subgroup.q31","mcc.secC_group.secC_subgroup.q32","mcc.secC_group.secC_subgroup.q33","mcc.secC_group.q34","mcc.secC_group.q35","mcc.secC_group.q36","mcc.secC_group.q37","mcc.secC_group.q38","mcc.secC_group.q39.1","mcc.secC_group.q39.2","mcc.secC_group.q39.3","mcc.secC_group.q39.4","mcc.secC_group.q39.5","mcc.secC_group.q39.6","mcc.secC_group.q39.7","mcc.secC_group.q39.8","mcc.secC_group.q39.9","mcc.secC_group.q39.10","mcc.secC_group.q39.11","mcc.secC_group.q39.96","mcc.secC_group.q39.98","mcc.secC_group.q41","mcc.secC_group.q42","mcc.secC_group.q43","mcc.secD_group.q49","mcc.secD_group.q50","mcc.secD_group.q51","mcc.secD_group.q52","mcc.secD_group.q53","mcc.secD_group.q54","mcc.secD_group.q55","mcc.secD_group.q56","mcc.secD_group.q57","mcc.secD_group.q58","mcc.secD_group.q59","mcc.secD_group.q60","mcc.secD_group.q61","mcc.secD_group.q62","mcc.secD_group.q63","mcc.secD_group.q64","mcc.secD_group.q65","mcc.secD_group.q66","mcc.secD_group.q67","mcc.secD_group.q68","mcc.secD_group.q69","mcc.secD_group.q70","mcc.secD_group.q71","mcc.secD_group.q72","mcc.secD_group.q73","mcc.secD_group.q74","mcc.secD_group.q75","mcc.secD_group.q76","mcc.secD_group.q88","mcc.secD_group.q89","mcc.secD_group.q90","mcc.secD_group.q91","mcc.secD_group.q92","mcc.secD_group.q93","mcc.secD_group.q94","mcc.secD_group.q95","mcc.secD_group.q96","mcc.secD_group.q97","mcc.secE_group.q98","mcc.secE_group.q99","mcc.secE_group.q100","mcc.secE_group.q101","mcc.secE_group.q102","mcc.secE_group.q102b","mcc.secE_group.q102c","mcc.secF_group.c1","mcc.secF_group.x1","mcc.secF_group.c6","mcc.secF_group.x3","mcc.secF_group.c11","mcc.secF_group.x5","mcc.secF_group.c13","mcc.secF_group.x7","mcc.secF_group.c16","mcc.secF_group.x9","mcc.secF_group.c2","mcc.secF_group.x11","mcc.secF_group.x13","mcc.secF_group.x18","mcc.secF_group.c3","mcc.secF_group.x21","mcc.secF_group.x23","mcc.secF_group.x28","mcc.secF_group.c4","mcc.secF_group.x31","mcc.secF_group.x33","mcc.secF_group.x38","mcc.secF_group.c5","mcc.secF_group.x41","mcc.secF_group.x43","mcc.secF_group.x44","mcc.secF_group.c7","mcc.secF_group.x51","mcc.secF_group.x48","mcc.secF_group.c8","mcc.secF_group.x61","mcc.secF_group.x62","mcc.secF_group.c9","mcc.secF_group.x71","mcc.secF_group.x73","mcc.secF_group.x78","mcc.secF_group.c10","mcc.secF_group.x81","mcc.secF_group.x83","mcc.secF_group.x88","mcc.secF_group.c12","mcc.secF_group.x91","mcc.secF_group.x93","mcc.secF_group.x98","mcc.secF_group.c14","mcc.secF_group.x101","mcc.secF_group.x103","mcc.secF_group.x108","mcc.secF_group.c15","mcc.secF_group.x111","mcc.secF_group.x113","mcc.secF_group.x118","mcc.secF_group.c17","mcc.secF_group.c18.1","mcc.secF_group.c18.2","mcc.secF_group.c18.3","mcc.secF_group.c18.4","mcc.secF_group.c18.5","mcc.secF_group.c18.6","mcc.secF_group.c19.1","mcc.secF_group.c19.2","mcc.secF_group.c19.3","mcc.secF_group.c19.4","mcc.secF_group.c19.5","mcc.secF_group.c19.6","mcc.secF_group.c19.7","mcc.secF_group.c19.8","mcc.secF_group.c19.96","mcc.secF_group.c154","mcc.secF_group.c155.1","mcc.secF_group.c155.2","mcc.secF_group.c155.3","mcc.secF_group.c155.4","mcc.secF_group.c155.5","mcc.secF_group.c155.96","mcc.secF_group.c155.98","mcc.secF_group.c158","mcc.secF_group.c159","mcc.secF_group.c163","mcc.secF_group.c164","mcc.secF_group.c169x","mcc.secF_group.c169x2","mcc.secF_group.c169x1","mcc.secF_group.c170","mcc.secF_group.c171.1","mcc.secF_group.c171.2","mcc.secF_group.c171.3","mcc.secF_group.c172","mcc.secF_group.c173","mcc.secF_group.c174.1","mcc.secF_group.c174.2","mcc.secF_group.c174.3","mcc.secF_group.c174.4","mcc.secF_group.c174.5","mcc.secF_group.c174.96","mcc.secF_group.c180","mcc.secF_group.c181","mcc.secF_group.c182","mcc.secG_group.f01","mcc.secG_group.f02","mcc.secG_group.f03","mcc.secG_group.f04","mcc.secG_group.f05","mcc.secH_group.g01","mcc.secH_group.g02","mcc.secH_group.g03","mcc.secH_group.g04","mcc.secH_group.g05","mcc.secH_group.g06","mcc.secH_group.g07","mcc.secH_group.g08","mcc.secH_group.g09","mcc.secH_group.g10","mcc.secH_group.g11"
"KIBOGA","M_43","C",1,"2","1",1,"Male","6","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Manager","2","n/a","8","1","n/a","n/a","300","14000","3","3","n/a","18000","85","75","06:30:00.000+03:00","2","1","1","3","4","4","10","13","11","100000","2","3","2","1","400","1","10:00:00.000+03:00","1","False","False","True","False","False","False","True","False","False","False","False","False","False","2","n/a","n/a","3","1000","9000","240","9000","0","0","0","0","9000","0","0","1000","1","3","1100","8000","300","8000","0","0","0","0","0","0","0","1100","2","38","33","0","0","0","1","5","0","0","3","25","17","8","1","0","500000","500000","1","2","1","2","1","1","1","1","1","1","2","1","350000","1","1","2","2000000","1","1","1","0","1","3","n/a","n/a","n/a","1","2","1","2","2","1","1","1","6000000","2","1","1","999","1","3","n/a","n/a","n/a","1","3","999","2","1","1","999","1","2","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","2","False","False","True","False","True","True","False","1","2","5","2","1","1","50000","1","True","True","True","1","2","True","False","False","False","False","False","1","1","1","1","4","1","100000000","4","2","1","1","1","1","2","1","2","4","4","4"
"KIBOGA","n/a","n/a",1,"2","1",1,"Male","5","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Manager","2","n/a","5","2","100","4000","100","4500","3","3","n/a","10000","50","90","07:00:00.000+03:00","4","0","0","1","2","3","7","7","5","57000","2","2","2","1","210","1","10:30:00.000+03:00","4","False","False","True","False","False","False","False","False","False","False","False","False","False","2","n/a","n/a","3","950","4500","140","4500","0","0","0","0","4500","0","0","950","1","3","950","8000","200","8000","0","0","0","0","8000","0","0","950","1","5","4","0","0","0","0","4","1","4","2","4","4","0","0","0","300000","0","1","1","1","1","1","1","1","1","1","1","3","n/a","n/a","n/a","1","1","999","2","1","1","999","2","3","n/a","n/a","n/a","1","1","2","3","n/a","n/a","1","1","999","98","1","1","999","1","3","n/a","n/a","n/a","1","1","999","2","3","n/a","n/a","n/a","1","False","True","False","False","True","False","False","False","False","False","True","False","False","True","False","1","False","False","True","False","False","False","False","1","2","98","2","1","1","50000","1","True","True","True","1","96","True","False","False","False","False","False","1","1","1","1","4","2","n/a","n/a","1","2","2","2","2","2","2","2","3","2","5"
"KIBOGA","M_42","C",1,"2","1",1,"Male","6","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Secretary","1","2","6","2","500","2800","500","2000","3","3","n/a","5200","60","100","09:00:00.000+03:00","5","9","0","0","1","1","2","1","1","13000","1","1","1","1","65","1","16:00:00.000+03:00","4","False","False","True","False","False","False","False","False","False","False","False","False","False","1","2","1","3","1400","3300","200","3300","0","0","0","0","3300","0","0","1500","1","3","950","4800","160","4800","0","0","0","0","4000","0","800","1100","1","5","2","0","0","50","0","3","1","1","1","20","15","5","0","0","250000","200000","1","2","1","2","1","2","1","2","1","1","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","1","2","2","2","3","2","3","n/a","n/a","n/a","3","n/a","n/a","n/a","1","2","1000000","2","2","3","500000","2","3","n/a","n/a","n/a","1","True","True","False","False","False","False","True","True","True","False","True","False","False","False","False","2","True","True","True","False","True","False","False","2","2","5","1","1","1","1000000","1","True","True","True","1","2","True","False","False","False","False","False","1","1","1","1","1","2","n/a","n/a","1","1","1","2","2","2","1","2","2","3","4"
"KIBOGA","M_38","C",1,"1","n/a",1,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","2","n/a","5","2","50","1500","169","5700","3","3","n/a","12000","55","100","07:00:00.000+03:00","5","1","0","1","2","2","3","1","1","16000","2","3","2","2","n/a","1","10:00:00.000+03:00","4","False","False","True","False","False","False","False","True","False","False","False","False","False","1","4","2","1","1200","2500","100","2500","0","0","0","0","2500","0","0","1400","1","1","300","9000","250","9000","300","0","0","0","6000","0","0","500","2","10","0","0","0","0","0","6","1","3","2","6","5","1","0","0","999","999","1","2","1","2","1","1","3","n/a","3","n/a","1","2","10000000","2","1","2","20000000","2","1","3","10000000","2","3","n/a","n/a","n/a","1","3","2","1","2","2","3","n/a","n/a","n/a","3","n/a","n/a","n/a","1","2","30000000","2","3","n/a","n/a","n/a","3","n/a","n/a","n/a","2","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","3","n/a","n/a","n/a","n/a","n/a","n/a","n/a","2","2","6","1","1","1","20000","1","True","True","True","1","2","True","False","False","False","False","False","1","1","1","1","4","1","2000000","4","2","2","2","2","2","2","2","2","4","3","4"
"KIBOGA","M_40","C",1,"2","1",1,"Male","5","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Manager","2","n/a","2","2","7","1000","50","1500","3","3","n/a","3100","50","75","07:20:00.000+03:00","3","0","0","0","1","1","7","5","5","27500","1","3","2","1","70","1","10:00:00.000+03:00","1","False","False","True","False","False","False","False","False","False","False","False","False","False","1","3","3","3","1400","1500","65","1500","0","0","0","0","1500","0","0","1100","65","3","950","2400","70","2400","0","0","0","0","2400","0","0","950","70","2","1","0","0","1","0","2","1","2","1","3","3","0","0","0","200000","0","3","n/a","3","n/a","1","1","3","n/a","3","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","1","1","98","3","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","2","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","3","n/a","n/a","n/a","n/a","n/a","n/a","n/a","1","2","98","2","1","2","50000","1","True","True","True","1","2","True","False","False","False","False","False","1","1","1","2","n/a","2","n/a","n/a","2","1","1","1","1","2","2","2","3","5","3"
"KIBOGA","M_41","C",1,"2","1",1,"Male","6","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Manager","2","n/a","2","2","2","200","56","3700","3","3","n/a","5000","40","100","07:00:00.000+03:00","1","1","0","0","1","1","3","2","2","6500","3","2","2","1","500","1","10:00:00.000+03:00","4","False","False","True","False","False","False","False","False","False","False","False","False","False","2","n/a","n/a","3","1100","3000","50","3000","0","0","0","0","3000","0","0","1100","1","3","800","4800","80","4800","0","0","0","0","4800","0","0","800","1","1","1","0","0","0","0","2","1","1","2","2","2","0","0","0","200000","0","1","1","1","1","3","n/a","2","1","3","n/a","1","3","50000","1","1","1","1000000","2","3","n/a","n/a","n/a","1","1","500000","1","1","1","1","3","n/a","n/a","1","1","400000","1","3","n/a","n/a","n/a","2","3","100000","2","3","n/a","n/a","n/a","2","3","300000","1","2","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","3","n/a","n/a","n/a","n/a","n/a","n/a","n/a","1","2","6","2","1","2","100000","1","False","True","True","1","2","True","False","False","False","False","False","1","1","1","1","4","2","n/a","n/a","2","2","1","2","2","2","2","2","4","4","3"
"KIBOGA","M_92","C",1,"1","n/a",1,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","2","n/a","2","2","10","1700","0","n/a","3","3","n/a","2100","50","85","07:05:00.000+03:00","2","0","0","0","1","1","4","3","3","999","2","2","2","2","n/a","1","11:34:00.000+03:00","4","False","False","False","True","False","False","False","False","False","False","False","False","False","2","n/a","n/a","1","1200","700","15","700","0","0","0","0","700","0","0","1400","1","1","900","1900","20","1900","0","0","0","0","1900","0","0","1100","1","6","6","0","0","0","0","2","1","2","1","2","1","1","0","0","150000","150000","1","2","1","2","1","2","3","n/a","3","n/a","1","3","10000000","2","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","1","3","2","3","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","2","2","20000000","2","3","n/a","n/a","n/a","3","n/a","n/a","n/a","2","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","3","n/a","n/a","n/a","n/a","n/a","n/a","n/a","1","2","6","2","2","n/a","n/a","1","True","True","True","1","2","True","False","False","False","False","False","1","1","1","1","4","2","n/a","n/a","1","1","1","2","2","2","2","2","4","3","5"
"KYANKWANZI","M_59","C",2,"n/a","n/a",1,"n/a","n/a","2019-12-01","True","False","False","False","n/a","3","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"KYANKWANZI","M_54","C",1,"2","1",1,"Male","5","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Manager","2","n/a","4","2","20","700","20","1000","3","3","n/a","4050","25","100","10:00:00.000+03:00","1","1","0","0","1","1","5","4","4","25000","2","1","2","2","n/a","1","12:30:00.000+03:00","3","False","True","True","False","False","False","False","False","False","False","False","False","False","2","n/a","n/a","1","1000","1800","25","3500","0","0","0","0","3400","0","0","1200","3","1","850","4000","21","4000","0","0","3950","0","0","0","0","950","1","5","5","0","0","0","0","3","0","0","0","3","3","0","0","0","250000","0","2","3","3","n/a","3","n/a","2","3","3","n/a","2","3","999","2","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","2","3","2","3","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","2","3","999","2","3","n/a","n/a","n/a","3","n/a","n/a","n/a","2","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","3","n/a","n/a","n/a","n/a","n/a","n/a","n/a","2","2","6","2","2","n/a","n/a","1","False","True","True","1","5","True","False","False","True","False","False","1","1","1","1","4","1","100000000","4","2","2","2","1","2","2","2","2","2","3","2"
"KYANKWANZI","M_47","C",1,"2","1",1,"Male","4","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Manager","1","1","2","2","20","2000","0","n/a","3","3","n/a","2850","60","100","08:00:00.000+03:00","2","0","0","0","1","1","2","2","999","18450","2","2","2","2","n/a","1","11:30:00.000+03:00","3","False","False","True","False","False","False","False","False","False","False","False","False","False","2","n/a","n/a","1","1400","1500","20","1500","0","0","0","0","1500","0","0","1600","1","1","600","2800","30","2800","0","0","0","0","2800","0","0","800","1","1","1","0","0","0","0","1","1","5","1","2","2","0","0","0","150000","0","1","2","1","2","1","2","3","n/a","3","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","3","n/a","n/a","3","n/a","n/a","n/a","3","n/a","n/a","n/a","2","2","999","2","3","n/a","n/a","n/a","3","n/a","n/a","n/a","2","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","3","n/a","n/a","n/a","n/a","n/a","n/a","n/a","1","1","5","2","2","n/a","n/a","1","True","True","True","1","2","True","False","False","False","False","False","1","1","1","2","n/a","2","n/a","n/a","1","1","1","1","1","1","1","1","2","3","3"
